Trending Percent,Response Score,City,Country,Public Health Capacity,Societal Strength,Economic Ability,Infrastructure,Collaborative Will,Spread Response,Treatment Response,Economic Response,Supply Chain Response
1.88434,51.0,Santa Fe,United States,70,80,82,94,58,24.0,76.0,32.0,72.0
1.87856,47.0,Florence,Italy,67,75,73,90,56,35.0,39.0,50.0,74.0
1.87601,48.0,Milwaukee,United States,70,66,82,94,58,11.0,80.0,32.0,72.0
1.84218,37.0,Montemorelos,Mexico,0,0,0,0,0,49.0,24.0,,
1.84017,42.0,Buffalo,United States,72,77,83,94,58,22.0,48.0,35.0,72.0
1.81787,52.0,Austin,United States,71,76,82,94,58,25.0,80.0,32.0,72.0
1.81254,59.0,Barcelona,Venezuela,27,50,41,0,35,93.0,60.0,30.0,35.0
1.81254,59.0,Puerto la Cruz,Venezuela,27,50,41,0,35,93.0,60.0,30.0,35.0
1.79346,66.0,Valencia,Venezuela,52,52,41,0,35,89.0,89.0,30.0,35.0
1.78966,26.0,Zwickau,Germany,0,0,0,0,0,27.0,25.0,,
1.78472,60.0,Abbotsford,Canada,0,0,0,0,0,46.0,73.0,,
1.78472,60.0,Chilliwack,Canada,0,0,0,0,0,46.0,73.0,,
1.75392,55.0,Frankfurt,Germany,86,68,86,95,56,41.0,51.0,62.0,76.0
1.74856,45.0,Reno,United States,0,0,0,0,0,17.0,74.0,,
1.72593,46.0,Rochester,United States,72,78,82,94,58,22.0,63.0,32.0,72.0
1.72576,36.0,Chivilcoy,Argentina,0,0,0,0,0,35.0,37.0,,
1.72427,85.0,Formosa,Argentina,0,0,0,0,0,91.0,79.0,,
1.72391,64.0,Bhilai,India,22,57,35,78,67,65.0,79.0,29.0,72.0
1.72391,63.0,Bilaspur,India,22,59,35,78,67,65.0,79.0,29.0,72.0
1.72391,63.0,Raipur,India,41,58,35,78,67,65.0,79.0,29.0,72.0
1.72124,54.0,Seattle,United States,69,76,84,94,58,39.0,69.0,37.0,72.0
1.69763,51.0,Boise,United States,70,77,82,94,58,15.0,84.0,32.0,72.0
1.67374,53.0,Astana,Kazakhstan,80,61,60,87,63,46.0,74.0,36.0,49.0
1.66624,23.0,Zagreb,Croatia,79,74,68,92,49,23.0,25.0,14.0,26.0
1.65645,57.0,Rotterdam,Netherlands,75,73,85,95,60,22.0,75.0,61.0,79.0
1.65645,58.0,The Hague,Netherlands,75,83,87,95,60,22.0,75.0,65.0,79.0
1.65392,38.0,Barranquilla,Colombia,56,66,55,88,50,28.0,31.0,39.0,62.0
1.64821,49.0,Cape Coral,United States,72,80,82,94,58,21.0,73.0,32.0,72.0
1.64642,53.0,Concepcion,Chile,68,69,67,91,51,40.0,68.0,43.0,59.0
1.63358,45.0,Valparaiso,Chile,68,71,67,91,51,45.0,35.0,43.0,59.0
1.63358,45.0,Vina del Mar,Chile,68,74,67,91,51,45.0,35.0,44.0,59.0
1.62364,46.0,Dresden,Germany,86,68,84,95,56,37.0,25.0,59.0,76.0
1.59812,42.0,Macapa,Brazil,71,66,54,88,40,22.0,50.0,35.0,69.0
1.58955,50.0,Colorado Springs,United States,70,76,82,94,58,21.0,76.0,32.0,72.0
1.58569,55.0,Hillsborough County,United States,72,80,90,94,58,21.0,77.0,,72.0
1.5851,70.0,Victoria,Canada,63,79,86,94,64,83.0,81.0,25.0,76.0
1.57002,61.0,Basel,Switzerland,79,89,86,95,67,52.0,61.0,58.0,80.0
1.56897,40.0,Allentown,United States,72,78,80,94,58,19.0,47.0,28.0,72.0
1.56173,38.0,Frontera,Mexico,0,0,0,0,0,55.0,22.0,,
1.55304,63.0,Port Blair,India,22,62,35,81,67,63.0,79.0,29.0,72.0
1.51109,42.0,Cordoba,Mexico,0,0,0,0,0,63.0,22.0,,
1.49625,54.0,Kiel,Germany,0,0,0,0,0,60.0,48.0,,
1.48461,51.0,Las Heras,Argentina,0,0,0,0,0,40.0,61.0,,
1.47679,48.0,Springfield,United States,71,78,82,94,58,19.0,70.0,32.0,72.0
1.44589,34.0,Caborca,Mexico,0,0,0,0,0,44.0,23.0,,
1.44431,49.0,San Martin,Argentina,0,0,0,0,0,45.0,53.0,,
1.44089,54.0,Pondicherry,India,22,57,35,74,67,45.0,68.0,29.0,72.0
1.41794,48.0,Dallas,United States,71,73,82,94,58,12.0,79.0,33.0,72.0
1.41452,67.0,Abbottabad,Pakistan,36,48,54,79,51,87.0,40.0,,74.0
1.41452,67.0,Bannu,Pakistan,16,48,54,79,51,87.0,40.0,,74.0
1.41452,60.0,Peshawar,Pakistan,36,46,41,79,51,87.0,40.0,33.0,74.0
1.41452,67.0,Saidu,Pakistan,16,48,54,79,51,87.0,40.0,,74.0
1.41447,54.0,Louisville,United States,73,76,90,94,58,15.0,78.0,,72.0
1.40405,39.0,Hidalgo del Parral,Mexico,0,0,0,0,0,56.0,21.0,,
1.39591,51.0,Duisburg,Germany,86,68,84,95,56,38.0,44.0,59.0,76.0
1.38265,36.0,Halle (Saale),Germany,0,0,0,0,0,43.0,29.0,,
1.37353,45.0,Las Vegas,United States,70,76,80,94,58,14.0,67.0,28.0,72.0
1.36831,44.0,Cuencame,Mexico,0,0,0,0,0,64.0,24.0,,
1.36653,40.0,Lehigh Valley,United States,72,79,81,94,58,19.0,46.0,31.0,72.0
1.35547,82.0,Nanaimo,Canada,0,0,0,0,0,82.0,82.0,,
1.35547,82.0,Saanich,Canada,0,0,0,0,0,82.0,82.0,,
1.33451,40.0,Chicoutimi,Canada,0,0,0,0,0,43.0,38.0,,
1.3298,45.0,Ciudad Juarez,Mexico,53,64,61,61,54,60.0,20.0,37.0,67.0
1.32974,50.0,Saint Paul,United States,71,79,90,94,58,20.0,63.0,,72.0
1.31262,37.0,Rosario,Argentina,62,65,47,91,41,23.0,46.0,37.0,45.0
1.3085,71.0,Naha,Japan,87,77,76,94,65,73.0,76.0,53.0,77.0
1.29216,46.0,Parana,Argentina,0,0,0,0,0,39.0,52.0,,
1.26792,73.0,Moncton,Canada,65,79,86,94,64,92.0,85.0,26.0,76.0
1.2371,50.0,Catania,Italy,67,72,72,90,56,43.0,43.0,47.0,74.0
1.2371,50.0,Palermo,Italy,67,71,72,90,56,43.0,43.0,47.0,74.0
1.23489,55.0,Asahikawa,Japan,0,0,0,0,0,80.0,30.0,,
1.23489,55.0,Hakodate,Japan,0,0,0,0,0,80.0,30.0,,
1.23489,59.0,Sapporo,Japan,87,79,75,94,65,80.0,30.0,52.0,77.0
1.22871,43.0,Ciudad Guzman,Mexico,0,0,0,0,0,62.0,23.0,,
1.22109,47.0,La Paz,Argentina,0,0,0,0,0,46.0,49.0,,
1.21904,63.0,Chennai,India,42,55,37,78,67,65.0,75.0,32.0,72.0
1.21904,62.0,Coimbatore,India,23,59,35,71,67,65.0,75.0,29.0,72.0
1.21904,62.0,Madurai,India,23,56,35,78,67,65.0,75.0,29.0,72.0
1.21904,62.0,Salem,India,23,58,35,78,67,65.0,75.0,29.0,72.0
1.21904,62.0,Tiruchirappalli,India,23,59,35,78,67,65.0,75.0,29.0,72.0
1.21904,62.0,Tirunelveli,India,23,60,35,78,67,65.0,75.0,29.0,72.0
1.21904,62.0,Tiruppur,India,22,57,35,78,67,65.0,75.0,29.0,72.0
1.21704,61.0,Addis Ababa,Ethiopia,35,53,27,74,54,39.0,98.0,26.0,75.0
1.20474,41.0,Quebec City,Canada,66,79,86,94,64,43.0,25.0,25.0,76.0
1.19766,41.0,Chiclayo,Peru,55,59,52,82,45,42.0,24.0,41.0,66.0
1.18333,34.0,Monclova,Mexico,0,0,0,0,0,45.0,22.0,,
1.17023,69.0,Rostock,Germany,0,0,0,0,0,71.0,68.0,,
1.16761,43.0,Los Angeles,United States,70,77,83,94,58,9.0,64.0,35.0,72.0
1.16635,54.0,Prince George,Canada,0,0,0,0,0,55.0,53.0,,
1.16237,51.0,Columbus,United States,72,76,82,94,58,18.0,81.0,32.0,72.0
1.16051,59.0,Amsterdam,Netherlands,75,72,85,95,60,23.0,80.0,61.0,79.0
1.14021,46.0,Tampa Bay area,United States,72,79,80,94,58,22.0,65.0,28.0,72.0
1.12851,52.0,Fort Worth,United States,71,79,90,94,58,10.0,79.0,,72.0
1.12306,68.0,Panaji,India,22,57,35,78,67,85.0,75.0,29.0,72.0
1.10974,41.0,Tuxpan,Mexico,0,0,0,0,0,67.0,15.0,,
1.10869,48.0,Knoxville,United States,72,78,80,94,58,14.0,79.0,28.0,72.0
1.10827,51.0,Oshawa,Canada,0,0,0,0,0,55.0,47.0,,
1.10402,51.0,Orlando,United States,72,79,81,94,58,19.0,83.0,30.0,72.0
1.09988,62.0,Jammu,India,22,60,35,78,67,68.0,72.0,29.0,72.0
1.09988,62.0,Srinagar,India,22,59,35,76,67,68.0,72.0,29.0,72.0
1.0925,48.0,Hamilton,Canada,62,79,86,94,64,50.0,44.0,25.0,76.0
1.07014,69.0,Ajmer,India,22,59,35,78,67,78.0,85.0,29.0,72.0
1.07014,69.0,Bikaner,India,22,60,35,78,67,78.0,85.0,29.0,72.0
1.07014,69.0,Jaipur,India,22,58,35,78,67,78.0,85.0,29.0,72.0
1.07014,69.0,Jodhpur,India,22,59,35,73,67,78.0,85.0,29.0,72.0
1.07014,69.0,Kota,India,26,58,35,78,67,78.0,85.0,29.0,72.0
1.04842,54.0,Wiesbaden,Germany,86,68,84,95,56,43.0,49.0,59.0,76.0
1.046,51.0,Wuppertal,Germany,86,69,84,95,56,40.0,39.0,59.0,76.0
1.01666,45.0,Toronto,Canada,62,78,86,94,64,39.0,43.0,26.0,76.0
1.01383,43.0,Uruapan,Mexico,0,0,0,0,0,65.0,22.0,,
1.00662,44.0,Dover,United States,72,79,82,94,58,19.0,59.0,32.0,72.0
0.989998,41.0,Bridgeport,United States,70,74,84,94,58,18.0,46.0,37.0,72.0
0.953537,71.0,Canberra,Australia,73,73,84,95,59,98.0,47.0,61.0,77.0
0.946892,27.0,Jersey City,United States,0,0,0,0,0,13.0,41.0,,
0.941186,55.0,Regina,Canada,65,79,86,94,64,50.0,65.0,25.0,76.0
0.929885,37.0,Corpus Christi,United States,0,0,0,0,0,13.0,62.0,,
0.92894,53.0,Jeddah,Saudi Arabia,64,64,53,0,69,69.0,29.0,50.0,70.0
0.910804,68.0,Al Quds,West Bank,0,0,0,0,0,44.0,85.0,,77.0
0.89502,61.0,Cologne,Germany,86,69,84,95,56,43.0,72.0,59.0,76.0
0.894665,54.0,Madison,United States,70,78,83,94,58,20.0,88.0,35.0,72.0
0.891618,60.0,Maracay,Venezuela,52,52,41,0,35,86.0,71.0,30.0,35.0
0.861993,59.0,Zurich,Switzerland,79,89,88,95,67,26.0,75.0,62.0,80.0
0.86129,84.0,Brisbane,Australia,76,75,82,95,59,98.0,92.0,57.0,77.0
0.86129,95.0,Bundaberg,Australia,0,0,0,0,0,98.0,92.0,,
0.86129,95.0,Cairns,Australia,0,0,0,0,0,98.0,92.0,,
0.86129,95.0,Caloundra,Australia,0,0,0,0,0,98.0,92.0,,
0.86129,85.0,Gold Coast,Australia,76,73,84,95,59,98.0,92.0,61.0,77.0
0.86129,95.0,Mackay,Australia,0,0,0,0,0,98.0,92.0,,
0.86129,95.0,Mount Isa,Australia,0,0,0,0,0,98.0,92.0,,
0.86129,95.0,Rockhampton,Australia,0,0,0,0,0,98.0,92.0,,
0.86129,95.0,Toowoomba,Australia,0,0,0,0,0,98.0,92.0,,
0.86129,95.0,Townsville,Australia,0,0,0,0,0,98.0,92.0,,
0.825987,41.0,Genoa,Italy,67,75,72,90,56,30.0,25.0,47.0,74.0
0.825426,35.0,Ortenaukreis,Germany,0,0,0,0,0,44.0,26.0,,
0.812541,52.0,Leipzig,Germany,86,68,82,95,56,47.0,40.0,54.0,76.0
0.793311,41.0,Oldenburg,Germany,0,0,0,0,0,47.0,36.0,,
0.789744,42.0,Progreso,Mexico,0,0,0,0,0,61.0,22.0,,
0.784455,41.0,Tegucigalpa,Honduras,25,55,37,78,48,15.0,53.0,32.0,70.0
0.772669,43.0,Trujillo,Peru,55,61,52,82,45,47.0,24.0,41.0,66.0
0.768741,51.0,Palm Coast,United States,0,0,0,0,0,29.0,73.0,,
0.76607,39.0,Allende,Mexico,0,0,0,0,0,44.0,34.0,,
0.760818,56.0,Jalalabad,Afghanistan,22,56,13,67,36,93.0,24.0,37.0,67.0
0.758896,31.0,Chacabuco,Argentina,0,0,0,0,0,17.0,45.0,,
0.736115,54.0,Vilnius,Lithuania,83,67,72,90,59,20.0,81.0,44.0,72.0
0.729285,42.0,Nuevo Laredo,Mexico,0,0,0,0,0,64.0,20.0,,
0.710843,32.0,Pachuca,Mexico,0,0,0,0,0,45.0,20.0,,
0.710475,44.0,Vicente Guerrero,Mexico,0,0,0,0,0,66.0,23.0,,
0.684656,35.0,McAllen,United States,71,75,82,94,58,17.0,31.0,32.0,72.0
0.680892,71.0,Kamloops,Canada,0,0,0,0,0,66.0,76.0,,
0.680892,71.0,Kelowna,Canada,0,0,0,0,0,66.0,76.0,,
0.678858,48.0,Louisville metropolitan area,United States,73,78,81,94,58,16.0,77.0,30.0,72.0
0.655397,50.0,Oklahoma,United States,72,78,81,94,58,14.0,84.0,31.0,72.0
0.654414,57.0,Magdeburg,Germany,0,0,0,0,0,55.0,58.0,,
0.630237,36.0,Fresnillo,Mexico,0,0,0,0,0,50.0,22.0,,
0.600757,47.0,Albuquerque,United States,70,77,80,94,58,20.0,69.0,28.0,72.0
0.591206,66.0,Guntur,India,41,55,35,78,67,67.0,86.0,29.0,72.0
0.591206,67.0,Hyderabad,India,41,58,36,78,67,67.0,86.0,31.0,72.0
0.591206,66.0,Nellore,India,22,55,35,78,67,67.0,86.0,29.0,72.0
0.591206,66.0,Vijayawada,India,22,55,35,78,67,67.0,86.0,29.0,72.0
0.591206,66.0,Vishakhapatnam,India,22,57,35,78,67,67.0,86.0,29.0,72.0
0.591206,66.0,Warangal,India,22,62,35,78,67,67.0,86.0,29.0,72.0
0.58112,74.0,Awka,Nigeria,7,43,22,69,47,98.0,82.0,26.0,73.0
0.568356,55.0,Cagayan de Oro,Philippines,48,60,46,86,67,68.0,52.0,26.0,70.0
0.543102,37.0,Ticul,Mexico,0,0,0,0,0,50.0,24.0,,
0.525845,33.0,Gera,Germany,0,0,0,0,0,41.0,25.0,,
0.521311,44.0,Akron,United States,72,75,80,94,58,21.0,58.0,29.0,72.0
0.513693,53.0,Coronel Suarez,Argentina,0,0,0,0,0,37.0,69.0,,
0.503679,68.0,Kohima,India,22,57,35,78,67,73.0,87.0,29.0,72.0
0.491573,62.0,Asansol,India,26,55,35,78,67,73.0,65.0,29.0,72.0
0.491573,62.0,Howrah,India,46,57,35,78,67,73.0,65.0,29.0,72.0
0.491573,62.0,Kolkata,India,46,59,36,78,67,73.0,65.0,31.0,72.0
0.491573,62.0,Siliguri,India,24,59,35,78,67,73.0,65.0,29.0,72.0
0.483762,53.0,Jena,Germany,0,0,0,0,0,46.0,60.0,,
0.471197,53.0,Essen,Germany,86,69,84,95,56,43.0,44.0,59.0,76.0
0.470145,35.0,Lujan,Argentina,0,0,0,0,0,28.0,43.0,,
0.465153,61.0,Port-au-Prince,Haiti,43,38,20,73,25,88.0,80.0,21.0,31.0
0.452772,43.0,Mexicali,Mexico,33,65,61,61,54,57.0,19.0,37.0,67.0
0.452512,44.0,Windsor,Canada,62,79,86,94,64,42.0,38.0,25.0,76.0
0.443314,50.0,Tula,Mexico,0,0,0,0,0,80.0,19.0,,
0.437372,55.0,Mazar-e Sharif,Afghanistan,39,50,14,69,36,90.0,24.0,37.0,67.0
0.421082,43.0,Topeka,United States,73,78,82,94,58,16.0,56.0,32.0,72.0
0.409739,42.0,Delicias,Mexico,0,0,0,0,0,66.0,19.0,,
0.384239,46.0,Saarbrucken,Germany,86,80,83,95,56,41.0,25.0,56.0,76.0
0.375742,43.0,Tehuacan,Mexico,0,0,0,0,0,69.0,17.0,,
0.372011,46.0,Gualeguay,Argentina,0,0,0,0,0,50.0,42.0,,
0.356042,58.0,Calgary,Canada,63,79,90,94,64,39.0,81.0,34.0,76.0
0.344406,50.0,Ottawa,Canada,62,78,86,94,64,59.0,39.0,26.0,76.0
0.32864,45.0,Tandil,Argentina,0,0,0,0,0,21.0,68.0,,
0.323621,42.0,Campana,Argentina,0,0,0,0,0,24.0,59.0,,
0.322724,61.0,Utsunomiya,Japan,87,80,76,94,65,46.0,70.0,53.0,77.0
0.311782,45.0,Bello,Colombia,56,71,55,87,50,22.0,61.0,39.0,62.0
0.304609,70.0,Dhanbad,India,22,52,35,78,67,83.0,84.0,29.0,72.0
0.304609,70.0,Jamshedpur,India,41,57,35,78,67,83.0,84.0,29.0,72.0
0.304609,70.0,Ranchi,India,41,58,35,78,67,83.0,84.0,29.0,72.0
0.302883,45.0,San Juan del Rio,Mexico,0,0,0,0,0,67.0,24.0,,
0.291189,54.0,Concord,United States,70,76,82,94,58,28.0,81.0,32.0,72.0
0.290776,89.0,Albury,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,89.0,Coffs Harbour,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,81.0,Newcastle,Australia,76,75,84,95,59,96.0,82.0,61.0,77.0
0.290776,89.0,Nowra,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,89.0,Orange,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,89.0,Port Macquarie,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,89.0,Tamworth,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,89.0,Taree,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,89.0,Tweed Heads,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,89.0,Wagga Wagga,Australia,0,0,0,0,0,96.0,82.0,,
0.290776,89.0,Wollongong,Australia,0,0,0,0,0,96.0,82.0,,
0.277414,62.0,Kandahar,Afghanistan,19,48,14,66,36,92.0,47.0,37.0,67.0
0.267019,71.0,Mombasa,Kenya,34,41,25,64,45,71.0,100.0,23.0,74.0
0.261768,68.0,Bhubaneshwar,India,22,60,35,78,67,71.0,90.0,29.0,72.0
0.261768,68.0,Cuttack,India,22,58,35,78,67,71.0,90.0,29.0,72.0
0.261768,68.0,Rourkela,India,22,61,35,78,67,71.0,90.0,29.0,72.0
0.24962,46.0,Autlan,Mexico,0,0,0,0,0,70.0,21.0,,
0.244807,43.0,St.-Jerome,Canada,0,0,0,0,0,45.0,41.0,,
0.209386,47.0,Fresno,United States,70,75,80,94,58,15.0,73.0,29.0,72.0
0.192918,43.0,Balancan,Mexico,0,0,0,0,0,62.0,24.0,,
0.188217,69.0,Dispur,India,22,57,35,78,67,73.0,91.0,29.0,72.0
0.188217,69.0,Guwahati,India,22,65,35,78,67,73.0,91.0,29.0,72.0
0.165695,39.0,Augsburg,Germany,0,0,0,0,0,37.0,41.0,,
0.165416,53.0,Kabul,Afghanistan,39,45,14,70,36,84.0,25.0,37.0,67.0
0.159816,60.0,Eldorado,Argentina,0,0,0,0,0,62.0,57.0,,
0.155762,48.0,Jacksonville,United States,72,77,80,94,58,16.0,77.0,28.0,72.0
0.149147,91.0,Kalgoorlie,Australia,0,0,0,0,0,98.0,83.0,,
0.149147,91.0,Mandurah,Australia,0,0,0,0,0,98.0,83.0,,
0.149147,83.0,Perth,Australia,72,75,87,95,59,98.0,83.0,65.0,77.0
0.148273,36.0,Chilecito,Argentina,0,0,0,0,0,48.0,25.0,,
0.147883,38.0,La Plata,Argentina,62,67,47,91,41,35.0,36.0,37.0,45.0
0.14481,43.0,Charleston,United States,74,78,82,94,58,23.0,50.0,32.0,72.0
0.135687,52.0,Ogden,United States,70,78,82,94,58,14.0,89.0,32.0,72.0
0.135052,22.0,Newark,United States,0,0,0,0,0,16.0,28.0,,
0.117823,47.0,Cuautla,Mexico,0,0,0,0,0,69.0,24.0,,
0.117576,68.0,Agra,India,41,57,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Aligarh,India,22,57,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Allahabad,India,22,57,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Bareilly,India,22,57,35,78,67,86.0,75.0,29.0,72.0
0.117576,69.0,Ghaziabad,India,41,57,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Gorakhpur,India,22,59,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Jhansi,India,22,58,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Kanpur,India,22,57,35,76,67,86.0,75.0,29.0,72.0
0.117576,68.0,Lucknow,India,22,56,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Meerut,India,22,51,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Moradabad,India,22,54,35,78,67,86.0,75.0,29.0,72.0
0.117576,68.0,Varanasi,India,22,57,35,78,67,86.0,75.0,29.0,72.0
0.110571,47.0,Panuco,Mexico,0,0,0,0,0,71.0,22.0,,
0.0903152,34.0,Sabinas Hidalgo,Mexico,0,0,0,0,0,32.0,36.0,,
0.0887615,48.0,Ciudad Hidalgo,Mexico,0,0,0,0,0,74.0,22.0,,
0.0826923,45.0,Acatlan,Mexico,0,0,0,0,0,72.0,17.0,,
0.0635964,46.0,Villa Ahumada,Mexico,0,0,0,0,0,73.0,20.0,,
0.0589293,37.0,Ciudad Victoria,Mexico,0,0,0,0,0,51.0,24.0,,
0.0583357,74.0,Quetta,Pakistan,36,46,41,77,51,92.0,82.0,33.0,74.0
0.0536364,51.0,Salt Lake,United States,70,74,83,94,58,9.0,90.0,35.0,72.0
0.0526988,56.0,Benin City,Nigeria,7,46,22,71,47,94.0,25.0,26.0,73.0
0.0485821,58.0,Bern,Switzerland,79,90,92,95,67,30.0,64.0,69.0,80.0
0.033938,62.0,Maracaibo,Venezuela,52,52,41,0,35,83.0,81.0,30.0,35.0
0.0296157,83.0,Sydney,Australia,76,74,83,95,59,100.0,87.0,59.0,77.0
0.0294871,46.0,Buenos Aires,Argentina,70,66,50,91,41,43.0,52.0,43.0,45.0
0.0261923,60.0,Dortmund,Germany,86,68,84,95,56,43.0,69.0,59.0,76.0
0.0136513,49.0,Vera,Argentina,0,0,0,0,0,47.0,50.0,,
0.0123629,68.0,Itanagar,India,22,57,35,78,67,66.0,94.0,29.0,72.0
0.0105707,53.0,Ballarat,Australia,0,0,0,0,0,81.0,25.0,,
0.0105707,53.0,Bendigo,Australia,0,0,0,0,0,81.0,25.0,,
0.0105707,53.0,Cranbourne,Australia,0,0,0,0,0,81.0,25.0,,
0.0105707,53.0,Geelong,Australia,0,0,0,0,0,81.0,25.0,,
0.0105707,58.0,Melbourne,Australia,76,74,81,95,59,81.0,25.0,57.0,77.0
0.0105707,53.0,Mildura,Australia,0,0,0,0,0,81.0,25.0,,
0.0105707,53.0,Shepparton,Australia,0,0,0,0,0,81.0,25.0,,
0.00608457,51.0,San Jose,United States,70,77,85,94,58,26.0,70.0,39.0,72.0
0.00405862,49.0,Tapachula,Mexico,0,0,0,0,0,78.0,19.0,,
0.00030153,65.0,Casablanca,Morocco,53,56,55,86,40,46.0,98.0,31.0,78.0
0.000106806,52.0,Miahuatlan,Mexico,0,0,0,0,0,84.0,20.0,,
4.31968e-05,69.0,Agadir,Morocco,29,58,53,83,40,62.0,99.0,27.0,78.0
1.16623e-05,68.0,Kenitra,Morocco,29,56,53,86,40,58.0,99.0,27.0,78.0
1.16623e-05,68.0,Rabat,Morocco,53,57,53,86,40,58.0,99.0,27.0,78.0
0.0,48.0,Tirana,Albania,64,60,55,87,55,25.0,68.0,29.0,72.0
0.0,63.0,Algiers,Algeria,56,58,50,85,49,93.0,52.0,23.0,73.0
0.0,75.0,Annaba,Algeria,56,57,50,85,49,98.0,89.0,23.0,73.0
0.0,57.0,Blida,Algeria,56,58,50,85,49,86.0,38.0,23.0,73.0
0.0,72.0,Constantine,Algeria,32,57,50,85,49,98.0,76.0,23.0,73.0
0.0,74.0,Oran,Algeria,32,58,50,85,49,91.0,91.0,23.0,73.0
0.0,,Pago Pago,American Samoa,0,0,0,0,0,100.0,,,
0.0,62.0,Luanda,Angola,31,41,25,74,33,92.0,37.0,34.0,83.0
0.0,,Gastre,Argentina,0,0,0,0,0,66.0,,,
0.0,,Darwin,Australia,0,0,0,0,0,,100.0,,
0.0,,Hobart,Australia,0,0,0,0,0,,24.0,,
0.0,,Launceston,Australia,0,0,0,0,0,,24.0,,
0.0,66.0,Chittagong,Bangladesh,45,43,32,76,56,85.0,,29.0,79.0
0.0,60.0,Dhaka,Bangladesh,46,37,32,76,56,70.0,,29.0,79.0
0.0,66.0,Khulna,Bangladesh,43,46,32,72,56,84.0,,29.0,79.0
0.0,67.0,Rajshahi,Bangladesh,27,43,32,75,56,87.0,,29.0,79.0
0.0,55.0,Brussels,Belgium,85,68,82,94,59,,40.0,56.0,75.0
0.0,52.0,Antwerp,Belgium,85,72,81,94,59,,34.0,53.0,75.0
0.0,57.0,Liege,Belgium,85,69,81,94,59,,46.0,53.0,75.0
0.0,81.0,Porto-Novo,Benin,8,45,19,51,36,100.0,100.0,28.0,
0.0,93.0,Thimphu,Bhutan,30,51,50,80,58,96.0,100.0,,78.0
0.0,73.0,Gaborone,Botswana,52,58,46,79,44,98.0,100.0,30.0,38.0
0.0,42.0,Jaboatao,Brazil,71,53,54,88,40,,27.0,35.0,69.0
0.0,75.0,North-Northeast Santa Catarina,Brazil,71,69,68,88,40,,81.0,,69.0
0.0,56.0,Bandar Seri Begawan,Brunei,46,70,53,90,78,97.0,42.0,55.0,15.0
0.0,83.0,Bujumbura,Burundi,10,43,8,52,48,93.0,96.0,38.0,94.0
0.0,56.0,Ndjamena,Chad,4,32,13,59,33,97.0,22.0,30.0,73.0
0.0,83.0,Suzhou,China,67,61,60,88,60,100.0,100.0,43.0,72.0
0.0,90.0,Changhua (Taiwan Province),China,62,77,67,0,43,100.0,,,79.0
0.0,90.0,Chiayi (Taiwan Province),China,37,77,67,0,43,100.0,,,79.0
0.0,84.0,Fuzhou,China,67,61,63,88,60,100.0,100.0,49.0,72.0
0.0,83.0,Yulin,China,67,65,60,88,60,100.0,100.0,43.0,72.0
0.0,81.0,Hsinchu (Taiwan Province),China,37,65,60,0,43,100.0,,57.0,79.0
0.0,83.0,Taizhou,China,67,61,60,88,60,100.0,100.0,43.0,72.0
0.0,83.0,Yichun,China,48,57,60,88,60,99.0,100.0,43.0,72.0
0.0,74.0,Jilin,China,67,65,60,88,60,100.0,69.0,43.0,72.0
0.0,60.0,Siping,China,67,66,60,88,60,100.0,24.0,43.0,72.0
0.0,81.0,Kaohsiung (Taiwan Province),China,62,68,60,0,43,100.0,,57.0,79.0
0.0,90.0,Keelung (Taiwan Province),China,37,73,67,0,43,100.0,,,79.0
0.0,90.0,Pingtung (Taiwan Province),China,62,77,67,0,43,100.0,,,79.0
0.0,81.0,Taichung (Taiwan Province),China,62,66,61,0,43,100.0,,58.0,79.0
0.0,81.0,Tainan (Taiwan Province),China,37,67,60,0,43,100.0,,57.0,79.0
0.0,81.0,Taipei (Taiwan Province),China,62,66,62,0,43,100.0,,59.0,79.0
0.0,81.0,Taoyuan (Taiwan Province),China,62,64,61,0,43,100.0,,58.0,79.0
0.0,90.0,Zhongli (Taiwan Province),China,62,77,67,0,43,100.0,,,79.0
0.0,84.0,Macau (SAR),China,0,0,0,92,0,100.0,100.0,73.0,47.0
0.0,,Flying Fish Cove,Christmas Island,0,0,0,0,0,100.0,,,
0.0,,Avarua,Cook Islands,0,48,0,0,0,100.0,,,
0.0,65.0,Prague,Czech Republic,78,69,83,92,58,40.0,100.0,43.0,74.0
0.0,69.0,Torshavn,Faroe Islands,0,0,0,0,0,59.0,,,82.0
0.0,,Palikir,Federated States of Micronesia,35,60,32,0,0,100.0,,,
